Symphony,Period,Start,End,Annualized Return,Cumulative Return,Sharpe,Sortino,Calmar,Max Drawdown,Volatility,Tail Ratio,Win Rate,Turnover,Alpha,Beta,R Squared,Correlation
Extended OOS Outliers 9/7/24 (Invest Copy),2024-2025,2024-01-01,2025-12-31,55.183,37.591,2.1027883255925044,3.3651567275148047,7.590808636692242,7.27,22.193,1.4563185748909773,54.945,64.88691811991616,-0.013852404002053386,1.2524267923410066,0.5247593078191979,0.7244027248838852
Extended OOS Outliers 9/7/24 (Invest Copy),2025,2025-01-01,2025-12-31,55.183,37.591,2.1027883255925044,3.3651567275148047,7.590808636692242,7.27,22.193,1.4563185748909773,54.945,64.88691811991616,-0.013852404002053386,1.2524267923410066,0.5247593078191979,0.7244027248838852
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2017,2017-01-01,2017-12-31,21.814,21.719,0.6732522521046567,1.3030677136505868,0.6311955266421813,34.56,40.921,0.8531982523523254,51.2,18.048302622241554,0.5232905252960683,-1.2860129506500746,0.044619639421225786,-0.21123361337918212
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2017-2018,2017-01-01,2018-12-31,84.313,238.069,1.448237946662447,2.9694818799300866,2.066469301739107,40.801,50.598,1.0925482494570908,53.293,24.643207367130426,0.7128950172308914,0.24896098486866616,0.004070995183961632,0.06380435082313457
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2018,2018-01-01,2018-12-31,197.395,196.111,2.1469374079088004,4.621875325214494,5.520068358183599,35.759,58.522,1.201180448658781,55.6,31.328557758246426,1.2769874545125122,0.5163444250587498,0.022648129835027158,0.15049295609770963
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2018-2019,2018-01-01,2019-12-31,145.237,499.276,2.1309206824919875,4.164014377179086,4.061499556717957,35.76,47.215,1.0672632432839426,56.773,25.16355428578124,0.8912017285417125,0.9530738572450713,0.09127588956126646,0.30211899900745476
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2019,2019-01-01,2019-12-31,103.046,103.046,2.3568887755275596,3.678503407272787,5.603481663143123,18.39,32.42,1.0090661068221005,58.167,19.122818012851884,0.26259780505136343,1.792729834455019,0.4804261037803114,0.6931277687268859
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2019-2020,2019-01-01,2020-12-31,870.882,9411.528,3.4673543517163954,9.28363911938724,28.002976271676104,31.1,72.717,1.341092640500905,62.103,34.144904219144244,2.5208925810145044,0.00189760606937818,4.338282336654602e-07,0.0006586563851246416
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2020,2020-01-01,2020-12-31,4427.76,4496.787,4.418904978219071,13.182949503012212,142.37299454822062,31.1,96.462,1.6681114897267508,65.873,48.452441343534026,4.315321319809724,-0.24498830599470153,0.007220359537758587,-0.08497269877883476
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2020-2021,2020-01-01,2021-12-31,1136.411,15340.444,3.765738183724301,10.160738464459682,36.54085015996198,31.1,73.624,1.3563443273230358,61.905,38.760252597609494,2.778924724778481,-0.026971745054483933,8.62662210926504e-05,-0.009287961083717482
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2021,2021-01-01,2021-12-31,247.464,247.464,3.5718980293409857,6.355068225113902,23.00331505184946,10.758,36.976,1.2066716532456687,58.167,29.177565760642484,0.9304706255164306,1.415193245998216,0.24492165788701642,0.4948956030184714
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2021-2022,2021-01-01,2022-12-31,298.753,1481.337,3.292302191345723,5.775539200187469,11.976908430932896,24.944,45.284,1.2866428603047968,57.769,49.34287217557617,1.4826291094274273,0.1589660743557182,0.004666519251967548,0.06831192613275919
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2022,2022-01-01,2022-12-31,351.86,349.164,3.1542427155247927,5.500962822992259,14.1056020760194,24.945,52.447,1.351284849271068,57.2,68.9902566420021,1.6198553879625988,-0.1929808600641722,0.007982558503788267,-0.0893451649715208
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2022-2023,2022-01-01,2023-12-31,190.784,734.875,2.6537543011468068,4.5106281941378095,7.648260638396388,24.945,43.992,1.2563387854674062,56.4,44.87061675591533,1.1578765665923059,0.2970574744606132,0.017385850939961787,0.1318554168017446
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2023,2023-01-01,2023-12-31,84.233,83.342,2.006896040883441,3.2009962300482417,3.393029645884072,24.825,33.353,1.1023419942750983,55.422,20.83181794603397,0.16131962130904756,2.0467069635088624,0.6454601853346831,0.8034053680021581
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2023-2024,2023-01-01,2024-12-31,118.736,375.489,2.5260573182984616,4.1505850514275275,4.782816071950575,24.825,33.27,1.1715747726982524,55.09,26.715912510970572,0.4416257406181136,1.667489237377455,0.41281417765660383,0.6425061693529517
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2024,2024-01-01,2024-12-31,162.36,162.36,3.0813118856192863,5.232366865160038,11.247993117369854,14.435,33.267,1.2291443333742307,54.98,32.65573342620772,0.726702240719631,1.2602673760148513,0.2270433643333782,0.4764906760193511
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2024-2025,2024-01-01,2025-12-31,173.31,641.048,2.143276271828369,5.524849048163887,7.4151271976694675,23.373,52.561,1.0763507759357924,55.289,28.270367115233014,0.7854355025253438,1.6240943291787988,0.2560955727968822,0.5060588629763164
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,2025,2025-01-01,2025-12-31,186.86,184.471,1.8591480314130795,5.8514786480903185,7.994679841973958,23.373,66.727,0.9806658779090085,55.823,23.968463738769774,0.9093202501941567,1.7768818690644692,0.270285186273892,0.5198895904650256
"Sisyphus V0.0 (291,7,2022) (Invest Copy)",2021-2022,2021-01-01,2022-12-31,337.796,206.227,5.207103945948139,12.851599442001698,43.17568210237373,7.824,29.398,2.6905347533537407,61.579,59.55852432338065,1.4725926387495152,-0.30235717075466856,0.06672741895734248,-0.25831650926207267
"Sisyphus V0.0 (291,7,2022) (Invest Copy)",2022,2022-01-01,2022-12-31,337.796,206.227,5.207103945948139,12.851599442001698,43.17568210237373,7.824,29.398,2.6905347533537407,61.579,59.55852432338065,1.4725926387495152,-0.30235717075466856,0.06672741895734248,-0.25831650926207267
