Symphony,6M Sharpe,1Y Sharpe,2Y Sharpe,3Y Sharpe,1Y Return %,1Y Max DD %,1Y Volatility %
Vigilante Bio - Mach BETA 3yr (Buy Copy), 4.7 , 5.1 , 3.3 , 3.3 ," 5,161.1 ", 18.9 , 85.9 
Custom Sisyphus_Pareto_01s90_Nova, 0.6 , 2.9 , 3.2 , 3.6 , 64.2 , 6.7 , 18.0 
Combined Wild West and RSI Frankenfest, 1.3 , 2.2 , 2.2 , 2.4 , 63.2 , 8.7 , 23.3 
Custom Growth Blend v2.2 RL + EMA (Buy Copy), 2.4 , 2.1 , 2.1 , 2.1 , 82.1 , 18.1 , 31.2 
"Sisyphus V0.0 (291,7,2022) (Invest Copy)", 1.2 , 1.8 , 3.0 , 3.5 , 52.4 , 12.0 , 25.3 
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd, (0.3), 1.8 , 1.7 , 1.9 , 175.2 , 20.4 , 67.5 
Extended OOS Outliers 9/7/24 (Invest Copy), 1.4 , 1.7 , 1.7 , 1.7 , 45.9 , 9.7 , 23.3 
NOVA | Best Leverage Mashup w/Vol Check (VIXM) | v1 (Invest Copy) (Invest Copy) (Invest Copy), (0.0), 1.6 , 2.2 , 3.3 , 45.1 , 15.4 , 25.1 
NOVA | Best Leverage Mashup w/Vol Check (VIXM) | v1 (Invest Copy), (0.0), 1.6 , 2.2 , 3.3 , 45.1 , 15.4 , 25.1 
ema of Pareto/S9 (watch), (0.7), 1.6 , 1.6 , 2.4 , 30.1 , 17.0 , 17.7 
NOVA | KMLM switcher | Crypto Juice (single pops) | (public) w/ Pre FR WM 74 (Buy Copy), 1.4 , 1.5 , 1.9 , 2.3 , 127.2 , 26.1 , 70.7 
Custom_Giga_Ema (Buy Copy), (0.4), 1.4 , 2.8 , 2.8 , 29.6 , 18.7 , 19.5 
The Futurist | Gobi + Beta Baller 12_27_2024, 0.8 , 1.4 , 2.2 , 2.2 , 102.6 , 43.1 , 65.6 
Holy Grail simplified (Invest Copy) (Buy Copy), (0.4), 1.2 , 1.1 , 1.4 , 80.1 , 36.0 , 67.0 
Extended OOS Outliers (FNGG), 1.5 , 1.1 , 2.1 , 2.8 , 52.4 , 22.1 , 45.0 
Extended OOS Outliers 11_25_2024, 1.5 , 1.1 , 2.1 , 2.8 , 52.4 , 22.1 , 45.0 
The Holy Grail (Buy Copy), (0.5), 1.1 , 1.0 , 1.4 , 69.1 , 36.8 , 62.8 
v2 | Community Discovery Symphony | NOVA (Invest Copy), 2.0 , 1.1 , 2.0 , 2.3 , 7.6 , 4.6 , 6.7 
Beta Baller with Rotators Final_(Reduced Leverage) (Buy Copy), 4.5 , 1.1 , 1.0 , 1.1 , 33.3 , 28.9 , 29.8 
[*] VT | QQQ Indicator | Template (Buy Copy), (0.7), 1.0 , 1.1 , 1.8 , 48.0 , 33.4 , 52.1 
Uncorrelated Outliers | FM removed and INVERSE  | BT Jun 21 2022 (Invest Copy), 0.2 , 0.8 , 1.5 , 2.3 , 19.0 , 12.1 , 24.8 
Giga-Symph 2025 (Investor Copy) 3_20_25, (0.2), 0.6 , 2.3 , 2.9 , 17.3 , 23.4 , 38.8 
Giga-Symph 2025 (Investor Copy), (0.2), 0.6 , 2.3 , 2.9 , 17.3 , 23.4 , 38.8 
BTC/FAANGT Rally + VIX Checks 7/18/2023 (Invest Copy) (Buy Copy), 0.6 , 0.3 , 1.6 , 2.1 , 0.8 , 36.3 , 67.1 
Better Balance Master | 4.8.25 (Invest Copy), (1.5), (0.5), (0.5), (0.5), (19.2), 31.1 , 33.0 
