Symphony,Total Nodes,Max Depth,Total Conditions,Unique Leaf Assets,Num Named Groups,Top Level Structure,Dominant Indicator,Primary Crash Detector,Crash Detector Asset,Crash Threshold,Rsi Ob Threshold,Rsi Os Threshold,Has Kmlm,Has Btal,Has Managed Futures,Has Filter Nodes,Uses Relative Comparison,Has Leveraged,Has Short Etfs,Has Defensive,Defensive Assets,Bull Payload Assets,Short Etf Assets
Extended OOS Outliers 9/7/24 (Invest Copy),7179,145,804,99,314,specified_weight_basket,relative-strength-index,max-drawdown,SVXY,10,80,31,True,True,True,True,True,True,True,True,"BIL, GLD, GOVT, IEF, SHV, SHY, TLT, VIXM, VIXY","EDC, QLD, SOXL, SPXL, TECL, TQQQ, UPRO","EDZ, FNGD, PSQ, QID, SH, SOXS, SPXS, SPXU, SQQQ, TECS"
01 s90 50/40 maxDD (190/40 s10-18-11) 2.36sh 50.2sd,169,47,30,9,2,equal_weight_basket,relative-strength-index,,,,84,30,False,False,False,True,True,True,True,True,"BIL, GLD, TLT","QLD, SOXL, UPRO",QID
"Sisyphus V0.0 (291,7,2022) (Invest Copy)",2028,136,313,58,180,equal_weight_basket,relative-strength-index,cumulative-return,TQQQ,-11,79,30,False,True,False,True,True,True,True,True,"BIL, GLD, SHV, TLT, VIXM, VIXY","EDC, LABU, QLD, ROM, SOXL, SPXL, SSO, TECL, TQQQ, UGE, UPRO","DXD, EDZ, FAZ, FNGD, PSQ, QID, SDOW, SOXS, SPXS, SPXU, SQQQ, TECS"
Beta Baller with Rotators Final_(Reduced Leverage) (Buy Copy),5965,89,674,41,306,equal_weight_basket,relative-strength-index,max-drawdown,SPY,0.1,79,30,True,True,True,True,True,True,True,True,"AGG, BIL, GLD, SHY, TLT, VIXM","CURE, UPRO","PSQ, SH, SPXS"
Extended OOS Outliers (FNGG),7179,145,804,99,314,specified_weight_basket,relative-strength-index,max-drawdown,SVXY,10,80,31,True,True,True,True,True,True,True,True,"BIL, GLD, GOVT, IEF, SHV, SHY, TLT, VIXM, VIXY","EDC, QLD, SOXL, SPXL, TECL, TQQQ, UPRO","EDZ, FNGD, PSQ, QID, SH, SOXS, SPXS, SPXU, SQQQ, TECS"
Extended OOS Outliers 11_25_2024,7179,145,804,99,314,specified_weight_basket,relative-strength-index,max-drawdown,SVXY,10,80,31,True,True,True,True,True,True,True,True,"BIL, GLD, GOVT, IEF, SHV, SHY, TLT, VIXM, VIXY","EDC, QLD, SOXL, SPXL, TECL, TQQQ, UPRO","EDZ, FNGD, PSQ, QID, SH, SOXS, SPXS, SPXU, SQQQ, TECS"
The Futurist | Gobi + Beta Baller 12_27_2024,797,46,76,69,69,specified_weight_basket,relative-strength-index,cumulative-return,UVXY,50,75,31,False,True,False,True,True,True,True,True,BIL,"EDC, QLD, ROM, SOXL, SPXL, SSO, TECL, TQQQ, UPRO","DXD, EDZ, FAZ, FNGD, PSQ, QID, SDOW, SOXS, SPXS, SPXU, SQQQ, TECS"
Giga-Symph 2025 (Investor Copy) 3_20_25,4535,79,652,96,318,equal_weight_basket,relative-strength-index,max-drawdown,QQQ,10,80,30,True,True,True,True,True,True,True,True,"AGG, BIL, BND, IEF, SHV, SHY, TLT, VIXM, VIXY","CURE, EDC, FAS, LABU, QLD, SOXL, SPXL, TECL, TQQQ, UGE, UPRO","EDZ, FNGD, LABD, PSQ, SDOW, SDS, SH, SOXS, SQQQ, TECS, TZA"
Better Balance Master | 4.8.25 (Invest Copy),4475,135,516,90,267,equal_weight_basket,relative-strength-index,cumulative-return,UVXY,4.5,79,30,True,True,True,True,True,True,True,True,"BIL, GLD, SHV, TLT, VIXM, VIXY","EDC, SOXL, SPXL, TECL, TQQQ, UGE, UPRO","EDZ, PSQ, SH, SOXS, SPXS, SPXU, SQQQ, TECS"
NOVA | Best Leverage Mashup w/Vol Check (VIXM) | v1 (Invest Copy) (Invest Copy) (Invest Copy),4196,107,517,75,437,equal_weight_basket,relative-strength-index,cumulative-return,VIXY,20,80,30,False,True,False,True,True,True,True,True,"BIL, GLD, TLT, VIXM, VIXY","CURE, EDC, QLD, SOXL, SPXL, TECL, TQQQ, UPRO","EDZ, FNGD, PSQ, QID, SH, SOXS, SPXS, SPXU, SQQQ, TECS"
Uncorrelated Outliers | FM removed and INVERSE  | BT Jun 21 2022 (Invest Copy),6895,147,816,185,298,equal_weight_basket,relative-strength-index,max-drawdown,SVXY,10,82,31,True,True,True,True,True,True,True,True,"BIL, GLD, GOVT, SHV, SHY, TLT, VIXM, VIXY","EDC, QLD, SOXL, SPXL, TECL, TQQQ, UPRO","EDZ, FNGD, PSQ, QID, SH, SOXS, SPXS, SPXU, SQQQ, TECS"
The Holy Grail (Buy Copy),30,15,5,6,0,equal_weight_basket,relative-strength-index,,,,79,31,False,False,False,True,True,True,True,False,,"SOXL, TECL, TQQQ",SQQQ
Custom Sisyphus_Pareto_01s90_Nova,6891,148,793,190,614,equal_weight_basket,relative-strength-index,cumulative-return,TQQQ,-11,80,30,False,True,False,True,True,True,True,True,"BIL, BND, GLD, IEF, SHV, SHY, TLT, VIXM, VIXY","CURE, EDC, FAS, LABU, QLD, SOXL, SPXL, TECL, TQQQ, UPRO","EDZ, FAZ, FNGD, LABD, PSQ, QID, SH, SOXS, SPXS, SPXU, SQQQ, TECS, TZA"
ema of Pareto/S9 (watch),2453,146,235,164,170,equal_weight_basket,relative-strength-index,cumulative-return,TQQQ,-11,80,30,False,True,False,True,True,True,True,True,"BIL, BND, GLD, IEF, SHV, SHY, TLT, VIXM, VIXY","CURE, EDC, FAS, LABU, QLD, SOXL, SPXL, TECL, TQQQ, UPRO","EDZ, FAZ, LABD, PSQ, SH, SOXS, SPXS, SPXU, SQQQ, TECS, TZA"
